,dose1_date,city,dose1_all,dose1_all_c,pop_all,dose1_all_c_prcent
223,2020-12-15,East Rancho Dominguez,0,0,12183,0
224,2020-12-15,East San Gabriel,0,0,21191,0
225,2020-12-15,East Whittier,0,0,4590,0
226,2020-12-15,El Camino Village,0,0,7300,0
227,2020-12-15,El Monte,0,0,98965,0
228,2020-12-15,El Segundo,0,0,15096,0
229,2020-12-15,Elizabeth Lake,0,0,1517,0
230,2020-12-15,Florence-Graham,0,0,51924,0
231,2020-12-15,Gardena,0,0,52660,0
232,2020-12-15,Glendale,0,0,184755,0
233,2020-12-15,Glendora,0,0,47029,0
234,2020-12-15,Hacienda Heights,0,0,50240,0
235,2020-12-15,Hawaiian Gardens,0,0,12077,0
236,2020-12-15,Hawthorne,0,0,75036,0
237,2020-12-15,Hermosa Beach,0,0,17571,0
238,2020-12-15,Hi Vista,0,0,934,0
239,2020-12-15,Hidden Hills,0,0,1758,0
240,2020-12-15,Huntington Park,0,0,49109,0
241,2020-12-15,Inglewood,0,0,95382,0
242,2020-12-15,Irwindale,0,0,1332,0
243,2020-12-15,Kagel/Lopez Canyons,0,0,1167,0
244,2020-12-15,La Canada Flintridge,0,0,19192,0
245,2020-12-15,La Crescenta-Montrose,0,0,17899,0
246,2020-12-15,La Habra Heights,0,0,5732,0
247,2020-12-15,La Mirada,0,0,43990,0
248,2020-12-15,La Puente,0,0,34490,0
249,2020-12-15,La Rambla,0,0,1785,0
250,2020-12-15,La Verne,0,0,31907,0
251,2020-12-15,Ladera Heights,0,0,6422,0
252,2020-12-15,Lake Hughes,0,0,570,0
253,2020-12-15,Lake Los Angeles,0,0,10813,0
254,2020-12-15,Lake Manor,0,0,1470,0
255,2020-12-15,Lakewood,1,1,70726,0
256,2020-12-15,Lancaster,0,0,134419,0
257,2020-12-15,Lawndale,0,0,28284,0
258,2020-12-15,Lennox,0,0,18429,0
259,2020-12-15,Leona Valley,0,0,1630,0
260,2020-12-15,Littlerock,0,0,3507,0
261,2020-12-15,Littlerock/Juniper Hills,0,0,1277,0
262,2020-12-15,Littlerock/Pearblossom,0,0,3042,0
263,2020-12-15,Llano,0,0,783,0
264,2020-12-15,Lomita,0,0,17918,0
265,2020-12-15,Long Beach,3,3,405914,0
266,2020-12-15,Los Angeles,1,1,3466830,0
267,2020-12-15,Lynwood,0,0,58354,0
268,2020-12-15,Malibu,0,0,11447,0
269,2020-12-15,Manhattan Beach,0,0,31855,0
270,2020-12-15,Marina del Rey,0,0,8508,0
271,2020-12-15,Maywood,0,0,22856,0
272,2020-12-15,Monrovia,0,0,36382,0
273,2020-12-15,Montebello,0,0,55095,0
274,2020-12-15,Monterey Park,0,0,55132,0
275,2020-12-15,Newhall,0,0,195,0
276,2020-12-15,North Lancaster,0,0,1116,0
277,2020-12-15,North Whittier,0,0,7231,0
278,2020-12-15,Norwalk,0,0,90824,0
279,2020-12-15,Padua Hills,0,0,203,0
280,2020-12-15,Palmdale,0,0,132486,0
281,2020-12-15,Palos Verdes Estates,0,0,12635,0
282,2020-12-15,Palos Verdes Peninsula,0,0,595,0
283,2020-12-15,Paramount,0,0,45813,0
284,2020-12-15,Pasadena,0,0,126923,0
285,2020-12-15,Pearblossom/Llano,0,0,1748,0
286,2020-12-15,Pellissier Village,0,0,515,0
287,2020-12-15,Pico Rivera,0,0,54715,0
288,2020-12-15,Placerita Canyon,0,0,383,0
289,2020-12-15,Pomona,0,0,130766,0
290,2020-12-15,Quartz Hill,0,0,11319,0
291,2020-12-15,Rancho Dominguez,0,0,2407,0
292,2020-12-15,Rancho Palos Verdes,0,0,39438,0
293,2020-12-15,Redondo Beach,0,0,58665,0
294,2020-12-15,Rolling Hills,0,0,1819,0
295,2020-12-15,Rolling Hills Estates,0,0,7702,0
296,2020-12-15,Roosevelt,0,0,768,0
297,2020-12-15,Rosemead,0,0,48554,0
298,2020-12-15,Rosewood,0,0,1134,0
299,2020-12-15,Rosewood/East Gardena,0,0,1064,0
300,2020-12-15,Rosewood/West Rancho Dominguez,0,0,2878,0
301,2020-12-15,Rowland Heights,0,0,45524,0
302,2020-12-15,San Dimas,0,0,31193,0
303,2020-12-15,San Fernando,0,0,20965,0
304,2020-12-15,San Francisquito Canyon/Bouquet Canyon,0,0,154,0
305,2020-12-15,San Gabriel,0,0,36321,0
306,2020-12-15,San Jose Hills,0,0,16912,0
307,2020-12-15,San Marino,0,0,12278,0
308,2020-12-15,San Pasqual,0,0,1737,0
309,2020-12-15,Sand Canyon,0,0,293,0
310,2020-12-15,Santa Catalina Island,0,0,256,0
311,2020-12-15,Santa Clarita,0,0,188565,0
312,2020-12-15,Santa Fe Springs,0,0,15903,0
313,2020-12-15,Santa Monica,0,0,84349,0
314,2020-12-15,Santa Monica Mountains,0,0,17015,0
315,2020-12-15,Saugus/Canyon Country,0,0,344,0
316,2020-12-15,Sierra Madre,0,0,10002,0
317,2020-12-15,Signal Hill,0,0,9907,0
318,2020-12-15,South Antelope Valley,0,0,432,0
319,2020-12-15,South El Monte,0,0,19249,0
320,2020-12-15,South Gate,0,0,80283,0
321,2020-12-15,South Pasadena,0,0,23381,0
322,2020-12-15,South San Gabriel,0,0,7942,0
323,2020-12-15,South Whittier,0,0,50584,0
324,2020-12-15,Southeast Antelope Valley,0,0,663,0
325,2020-12-15,Stevenson Ranch,0,0,18736,0
326,2020-12-15,Sun Village,0,0,5041,0
327,2020-12-15,Sunrise Village,0,0,1120,0
328,2020-12-15,Temple City,0,0,33037,0
329,2020-12-15,Torrance,0,0,131421,0
330,2020-12-15,Twin Lakes/Oat Mountain,0,0,1460,0
331,2020-12-15,Val Verde,0,0,2907,0
332,2020-12-15,Valencia,0,0,2573,0
333,2020-12-15,Valinda,0,0,19756,0
334,2020-12-15,View Park/Windsor Hills,0,0,10571,0
335,2020-12-15,Walnut,0,0,28130,0
336,2020-12-15,Walnut Park,0,0,13438,0
337,2020-12-15,West Antelope Valley,0,0,1414,0
338,2020-12-15,West Carson,0,0,19327,0
339,2020-12-15,West Covina,0,0,93958,0
340,2020-12-15,West Hollywood,2,2,34698,0
341,2020-12-15,West LA,0,0,898,0
342,2020-12-15,West Puente Valley,0,0,8419,0
343,2020-12-15,West Rancho Dominguez,0,0,1161,0
344,2020-12-15,West Whittier/Los Nietos,0,0,23033,0
345,2020-12-15,Westfield/Academy Hills,0,0,1210,0
346,2020-12-15,Westhills,0,0,805,0
347,2020-12-15,Westlake Village,0,0,7749,0
348,2020-12-15,Westmont,0,0,35234,0
349,2020-12-15,White Fence Farms,0,0,3491,0
350,2020-12-15,Whittier,0,0,78566,0
351,2020-12-15,Willowbrook,0,0,28616,0
352,2020-12-15,Wiseburn,0,0,5152,0
353,2020-12-16,Acton,0,0,7269,0
354,2020-12-16,Agoura Hills,0,0,18920,0
355,2020-12-16,Agua Dulce,0,0,3871,0
356,2020-12-16,Alhambra,0,0,76362,0
357,2020-12-16,Altadena,0,0,38928,0
358,2020-12-16,Anaverde,0,0,1347,0
359,2020-12-16,Angeles National Forest,0,0,1136,0
360,2020-12-16,Arcadia,0,0,60474,0
361,2020-12-16,Artesia,0,0,15043,0
362,2020-12-16,Athens Village,0,0,4048,0
363,2020-12-16,Avalon,0,0,3266,0
364,2020-12-16,Avocado Heights,0,0,5780,0
365,2020-12-16,Azusa,0,0,56925,0
366,2020-12-16,Baldwin Park,0,0,65069,0
367,2020-12-16,Bassett,0,0,12572,0
368,2020-12-16,Bell,0,0,30235,0
369,2020-12-16,Bell Gardens,0,0,35056,0
370,2020-12-16,Bellflower,0,0,65994,0
371,2020-12-16,Beverly Hills,0,0,31578,0
372,2020-12-16,Bouquet Canyon,0,0,953,0
373,2020-12-16,Bradbury,0,0,979,0
374,2020-12-16,Burbank,0,0,93794,0
375,2020-12-16,Calabasas,0,0,21901,0
376,2020-12-16,Canyon Country,0,0,1676,0
377,2020-12-16,Carson,0,0,81850,0
378,2020-12-16,Castaic,0,0,24050,0
379,2020-12-16,Cerritos,0,0,47203,0
380,2020-12-16,Charter Oak,0,0,11566,0
381,2020-12-16,Claremont,0,0,34332,0
382,2020-12-16,Commerce,0,0,10917,0
383,2020-12-16,Compton,0,0,80305,0
384,2020-12-16,Covina,0,0,56881,0
385,2020-12-16,Cudahy,0,0,19865,0
386,2020-12-16,Culver City,0,0,35395,0
387,2020-12-16,Del Aire,0,0,3780,0
388,2020-12-16,Del Rey,0,0,381,0
389,2020-12-16,Del Sur,0,0,2227,0
390,2020-12-16,Desert View Highlands,0,0,2141,0
391,2020-12-16,Diamond Bar,0,0,51968,0
392,2020-12-16,Downey,0,1,97261,0
393,2020-12-16,Duarte,0,0,22893,0
394,2020-12-16,East Covina,0,0,319,0
395,2020-12-16,East La Mirada,0,0,4706,0
396,2020-12-16,East Lancaster,0,0,97,0
397,2020-12-16,East Los Angeles,0,0,102599,0
398,2020-12-16,East Pasadena,0,0,6758,0
399,2020-12-16,East Rancho Dominguez,0,0,12183,0
400,2020-12-16,East San Gabriel,0,0,21191,0
401,2020-12-16,East Whittier,0,0,4590,0
402,2020-12-16,El Camino Village,0,0,7300,0
403,2020-12-16,El Monte,0,0,98965,0
404,2020-12-16,El Segundo,0,0,15096,0
405,2020-12-16,Elizabeth Lake,0,0,1517,0
406,2020-12-16,Florence-Graham,0,0,51924,0
407,2020-12-16,Gardena,0,0,52660,0
408,2020-12-16,Glendale,0,0,184755,0
409,2020-12-16,Glendora,0,0,47029,0
410,2020-12-16,Hacienda Heights,0,0,50240,0
411,2020-12-16,Hawaiian Gardens,0,0,12077,0
412,2020-12-16,Hawthorne,0,0,75036,0
413,2020-12-16,Hermosa Beach,0,0,17571,0
414,2020-12-16,Hi Vista,0,0,934,0
415,2020-12-16,Hidden Hills,0,0,1758,0
416,2020-12-16,Huntington Park,0,0,49109,0
417,2020-12-16,Inglewood,0,0,95382,0
418,2020-12-16,Irwindale,0,0,1332,0
419,2020-12-16,Kagel/Lopez Canyons,0,0,1167,0
420,2020-12-16,La Canada Flintridge,0,0,19192,0
421,2020-12-16,La Crescenta-Montrose,0,0,17899,0
422,2020-12-16,La Habra Heights,0,0,5732,0
423,2020-12-16,La Mirada,0,0,43990,0
424,2020-12-16,La Puente,0,0,34490,0
425,2020-12-16,La Rambla,0,0,1785,0
426,2020-12-16,La Verne,0,0,31907,0
427,2020-12-16,Ladera Heights,0,0,6422,0
428,2020-12-16,Lake Hughes,0,0,570,0
429,2020-12-16,Lake Los Angeles,0,0,10813,0
430,2020-12-16,Lake Manor,0,0,1470,0
431,2020-12-16,Lakewood,0,1,70726,0
432,2020-12-16,Lancaster,0,0,134419,0
433,2020-12-16,Lawndale,0,0,28284,0
434,2020-12-16,Lennox,0,0,18429,0
435,2020-12-16,Leona Valley,0,0,1630,0
436,2020-12-16,Littlerock,0,0,3507,0
437,2020-12-16,Littlerock/Juniper Hills,0,0,1277,0
438,2020-12-16,Littlerock/Pearblossom,0,0,3042,0
439,2020-12-16,Llano,0,0,783,0
440,2020-12-16,Lomita,0,0,17918,0
441,2020-12-16,Long Beach,0,3,405914,0
442,2020-12-16,Los Angeles,1,2,3466830,0
443,2020-12-16,Lynwood,0,0,58354,0
444,2020-12-16,Malibu,0,0,11447,0
445,2020-12-16,Manhattan Beach,0,0,31855,0
446,2020-12-16,Marina del Rey,0,0,8508,0
447,2020-12-16,Maywood,0,0,22856,0
448,2020-12-16,Monrovia,0,0,36382,0
449,2020-12-16,Montebello,0,0,55095,0
450,2020-12-16,Monterey Park,0,0,55132,0
451,2020-12-16,Newhall,0,0,195,0
452,2020-12-16,North Lancaster,0,0,1116,0
453,2020-12-16,North Whittier,0,0,7231,0
454,2020-12-16,Norwalk,0,0,90824,0
455,2020-12-16,Padua Hills,0,0,203,0
456,2020-12-16,Palmdale,0,0,132486,0
457,2020-12-16,Palos Verdes Estates,0,0,12635,0
458,2020-12-16,Palos Verdes Peninsula,0,0,595,0
459,2020-12-16,Paramount,0,0,45813,0
460,2020-12-16,Pasadena,0,0,126923,0
461,2020-12-16,Pearblossom/Llano,0,0,1748,0
462,2020-12-16,Pellissier Village,0,0,515,0
463,2020-12-16,Pico Rivera,0,0,54715,0
464,2020-12-16,Placerita Canyon,0,0,383,0
465,2020-12-16,Pomona,0,0,130766,0
466,2020-12-16,Quartz Hill,0,0,11319,0
467,2020-12-16,Rancho Dominguez,0,0,2407,0
468,2020-12-16,Rancho Palos Verdes,0,0,39438,0
469,2020-12-16,Redondo Beach,0,0,58665,0
470,2020-12-16,Rolling Hills,0,0,1819,0
471,2020-12-16,Rolling Hills Estates,0,0,7702,0
472,2020-12-16,Roosevelt,0,0,768,0
473,2020-12-16,Rosemead,0,0,48554,0
474,2020-12-16,Rosewood,0,0,1134,0
475,2020-12-16,Rosewood/East Gardena,0,0,1064,0
476,2020-12-16,Rosewood/West Rancho Dominguez,0,0,2878,0
477,2020-12-16,Rowland Heights,0,0,45524,0
478,2020-12-16,San Dimas,0,0,31193,0
479,2020-12-16,San Fernando,0,0,20965,0
480,2020-12-16,San Francisquito Canyon/Bouquet Canyon,0,0,154,0
481,2020-12-16,San Gabriel,0,0,36321,0
482,2020-12-16,San Jose Hills,0,0,16912,0
483,2020-12-16,San Marino,0,0,12278,0
484,2020-12-16,San Pasqual,0,0,1737,0
485,2020-12-16,Sand Canyon,0,0,293,0
486,2020-12-16,Santa Catalina Island,0,0,256,0
487,2020-12-16,Santa Clarita,0,0,188565,0
488,2020-12-16,Santa Fe Springs,0,0,15903,0
489,2020-12-16,Santa Monica,0,0,84349,0
490,2020-12-16,Santa Monica Mountains,0,0,17015,0
491,2020-12-16,Saugus/Canyon Country,0,0,344,0
492,2020-12-16,Sierra Madre,0,0,10002,0
493,2020-12-16,Signal Hill,0,0,9907,0
494,2020-12-16,South Antelope Valley,0,0,432,0
495,2020-12-16,South El Monte,0,0,19249,0
496,2020-12-16,South Gate,0,0,80283,0
497,2020-12-16,South Pasadena,0,0,23381,0
498,2020-12-16,South San Gabriel,0,0,7942,0
499,2020-12-16,South Whittier,0,0,50584,0
500,2020-12-16,Southeast Antelope Valley,0,0,663,0
501,2020-12-16,Stevenson Ranch,0,0,18736,0
