Date,city,dose1_all,dose1_all_c,dose1_all_c_prcent,dose1_youth,dose1_youth_c,dose1_youth_c_prcent,dose1_senior,dose1_senior_c,dose1_senior_c_prcent,pop_all,pop_youth,pop_senior
2021-08-18,White Fence Farms,7,1685,48.3%,1,98,44.7%,0,531,69.1%,3491,219,768
2021-08-18,Willowbrook,43,17643,61.7%,10,1680,50.8%,3,2745,87.3%,28616,3308,3145
2021-08-18,Wiseburn,5,4075,79.1%,2,356,82.6%,0,735,89.9%,5152,431,818
2021-08-19,Acton,13,3287,45.2%,2,162,33.3%,1,924,63.4%,7269,486,1458
2021-08-19,Agua Dulce,0,1998,51.6%,0,96,43.0%,0,638,69.0%,3871,223,925
2021-08-19,Altadena,35,29559,75.9%,6,2117,66.9%,4,7518,92.4%,38928,3164,8134
2021-08-19,Anaverde,4,714,53.0%,2,40,36.7%,0,186,66.7%,1347,109,279
2021-08-19,Angeles National Forest,0,829,73.0%,NA,60,98.4%,0,172,81.5%,1136,61,211
2021-08-19,Athens Village,11,2915,72.0%,3,238,58.8%,NA,493,100.0%,4048,405,493
2021-08-19,Westmont,49,20182,57.3%,3,1671,43.7%,3,3665,82.7%,35234,3827,4431
2021-08-19,Avocado Heights,10,4036,69.8%,0,329,55.2%,1,671,84.0%,5780,596,799
2021-08-19,Bassett,15,9360,74.5%,4,627,49.7%,2,1924,97.5%,12572,1262,1973
2021-08-19,Canyon Country,2,1180,70.4%,0,104,67.5%,0,215,84.3%,1676,154,255
2021-08-19,Castaic,28,12440,51.7%,8,1021,50.4%,1,2025,89.6%,24050,2027,2259
2021-08-19,Charter Oak,17,7865,68.1%,3,600,66.2%,0,1501,81.3%,11546,907,1847
2021-08-19,Del Aire,2,2933,77.6%,1,219,75.8%,0,466,87.6%,3780,289,532
2021-08-19,Del Sur,2,1121,50.3%,1,76,51.0%,0,270,49.7%,2227,149,543
2021-08-19,Desert View Highlands,3,1221,57.0%,0,118,59.6%,1,222,65.1%,2141,198,341
2021-08-19,East La Mirada,10,3370,71.6%,1,244,63.9%,0,729,93.5%,4706,382,780
2021-08-19,East Los Angeles,150,71325,69.5%,19,7054,60.2%,9,11267,91.8%,102599,11709,12269
2021-08-19,East Pasadena,9,5370,79.5%,0,336,66.7%,1,1312,84.7%,6758,504,1549
2021-08-19,East Rancho Dominguez,22,7495,61.5%,3,774,50.8%,0,1073,92.7%,12183,1523,1157
2021-08-19,East Whittier,4,2778,60.5%,0,218,53.0%,0,586,83.6%,4590,411,701
2021-08-19,El Camino Village,13,5473,75.0%,7,429,59.0%,1,1012,98.3%,7300,727,1030
2021-08-19,Elizabeth Lake,2,529,34.9%,0,25,23.4%,0,125,46.3%,1517,107,270
2021-08-19,Florence-Graham,88,35915,69.2%,11,3552,55.4%,3,4549,94.7%,51924,6415,4803
2021-08-19,Hacienda Heights,51,38221,76.1%,8,2575,70.2%,4,9548,88.5%,50240,3666,10786
2021-08-19,Kagel/Lopez Canyons,2,602,51.6%,0,35,31.8%,0,132,48.0%,1167,110,275
2021-08-19,La Crescenta-Montrose,13,13994,78.2%,2,1294,99.8%,2,2923,92.9%,17899,1296,3147
2021-08-19,La Rambla,4,1022,57.3%,1,69,48.6%,0,251,73.2%,1785,142,343
2021-08-19,Ladera Heights,5,4657,72.5%,0,216,59.3%,1,1586,85.9%,6422,364,1847
2021-08-19,Lake Los Angeles,9,5289,48.9%,0,478,40.6%,1,1007,73.3%,10813,1178,1373
2021-08-19,Lake Manor,0,1026,69.8%,0,74,82.2%,0,215,70.5%,1470,90,305
2021-08-19,Lennox,22,12255,66.5%,5,1230,58.1%,0,1606,87.9%,18429,2116,1827
2021-08-19,Leona Valley,2,591,36.3%,0,14,16.9%,0,232,54.7%,1630,83,424
2021-08-19,Littlerock,3,1579,45.0%,0,133,42.5%,0,335,63.2%,3507,313,530
2021-08-19,Littlerock/Juniper Hills,0,706,55.3%,0,40,59.7%,0,234,62.2%,1277,67,376
2021-08-19,Littlerock/Pearblossom,2,1647,54.1%,1,155,54.4%,0,318,70.8%,3042,285,449
2021-08-19,Marina del Rey,9,7859,92.4%,0,127,68.3%,0,1204,90.7%,8508,186,1328
2021-08-19,North Lancaster,2,649,58.2%,0,35,36.8%,NA,245,100.0%,1116,95,245
2021-08-19,North Whittier,11,5070,70.1%,2,359,50.6%,0,1168,87.8%,7231,710,1330
